"id" "Nativelikeness" "TextAspLenLD" "gender" "native.language" "age.of.english.onset" "learning.method" "english.residence" "length.of.english.residence"
"romanian13" 3.803418803 0.00807403 "m" "romanian" 12 "academic" "uk,_usa" 14
"romanian15" 4.703862661 0.00638596 "f" "romanian" 8 "naturalistic" "unknown" 0
"romanian2" 1.958333333 0.00963753 "m" "romanian" 14 "academic" "usa" 22
"romanian7" 4.613043478 0.0069727 "m" "romanian" 11 "academic" "usa" 4
"romanian9" 3.461864407 0.0080673 "f" "romanian" 10 "academic" "usa" 2.5
"russian10" 2.27340824 0.00659474 "f" "russian" 5 "academic" "uk" 0.5
"russian14" 2.552631579 0.00817323 "m" "russian" 18 "academic" "usa" 6
"russian18" 2.360902256 0.0082287 "m" "russian" 13 "academic" "usa" 1
"russian21" 1.808 0.0115331 "f" "russian" 10 "academic" "usa" 11
"russian24" 1.845814978 0.0103704 "f" "russian" 19 "academic" "new_zealand,_australia" 8.5
"russian3" 3.328947368 0.00712113 "f" "russian" 6 "academic" "usa" 7
"russian7" 2.542372881 0.00924986 "f" "russian" 13 "academic" "usa" 23
"russian9" 4.144067797 0.00690965 "m" "russian" 7 "academic" "unknown" 0
"serbian10" 3.4 0.00876222 "m" "serbian" 7 "naturalistic" "australia,_usa" 1.5
"sesotho1" 3.166666667 0.00655718 "f" "sesotho" 6 "academic" "lesotho,_usa" 49
"sindhi1" 3.731481481 0.00615324 "m" "sindhi" 8 "academic" "uk" 1.5
"sinhala4" 3.486956522 0.00681588 "m" "sinhala" 15 "academic" "usa" 20
"slovenian1" 5.633928571 0.00482638 "f" "slovenian" 6 "academic" "usa" 1.5
"slovenian2" 4.283333333 0.00666021 "m" "slovenian" 4 "academic" "usa" 7
"somali1" 1.506849315 0.0101804 "f" "somali" 24 "academic" "usa" 4
"somali3" 1.208695652 0.0118738 "f" "somali" 10 "academic" "usa" 5
"spanish13" 1.698412698 0.0113369 "f" "spanish" 11 "academic" "usa" 1.2
"spanish15" 2.842465753 0.00861833 "m" "spanish" 4 "academic" "usa" 21
"spanish18" 2.866108787 0.00885262 "m" "spanish" 17 "academic" "usa" 2
"spanish22" 1.675572519 0.00966827 "f" "spanish" 11 "academic" "usa" 0.8
"spanish34" 2.946619217 0.00772727 "m" "spanish" 11 "academic" "uk" 0.75
"spanish35" 3.908256881 0.00642639 "m" "spanish" 17 "academic" "usa" 4.25
"spanish39" 2.112068966 0.00661367 "m" "spanish" 3 "academic" "unknown" 0
"spanish4" 1.595652174 0.011667 "f" "spanish" 17 "academic" "usa" 4
"spanish41" 6.233333333 0.00556011 "m" "spanish" 6 "naturalistic" "usa" 23
"spanish42" 1.545454545 0.0107038 "f" "spanish" 18 "academic" "usa" 20
"spanish53" 3.573839662 0.00658482 "m" "spanish" 6 "academic" "usa" 1.2
"spanish6" 2.246153846 0.00883774 "m" "spanish" 19 "academic" "usa" 1
"spanish61" 1.609375 0.0111777 "m" "spanish" 39 "naturalistic" "usa" 30
"spanish65" 4.976 0.00563922 "m" "spanish" 12 "naturalistic" "usa" 20
"spanish66" 6 0.00492451 "m" "spanish" 12 "naturalistic" "canada" 18
"spanish7" 2.184615385 0.00980201 "f" "spanish" 20 "academic" "usa" 0.4
"spanish8" 2.634920635 0.00801091 "m" "spanish" 12 "academic" "usa" 0.5
"swedish10" 5.89453125 0.00607288 "f" "swedish" 9 "academic" "usa" 0.1
"swedish2" 2.757575758 0.00790797 "m" "swedish" 10 "academic" "unknown" 0
"swissgerman3" 3.780172414 0.00680296 "m" "swiss_german" 13 "academic" "scotland,_egnland,_canada" 0.5
"tagalog3" 6.123076923 0.00438068 "f" "tagalog" 1 "naturalistic" "usa" 3
"taiwanese1" 1.425 0.0106041 "f" "taiwanese" 13 "academic" "uk,usa" 1.7
"taiwanese5" 1.112903226 0.0116427 "m" "taiwanese" 15 "naturalistic" "usa" 0.5
"tamil2" 3.398230088 0.0077295 "f" "tamil" 4 "naturalistic" "usa" 5
"telugu1" 2.300429185 0.0106086 "m" "telugu" 6 "academic" "usa" 4
"tetundili1" 2.383333333 0.00741197 "f" "tetun-dili" 25 "academic" "usa" 13
"thai1" 1.3125 0.011217 "f" "thai" 10 "academic" "usa" 1
"thai3" 4.598540146 0.00599885 "m" "thai" 4 "academic" "usa" 0.25
"thai4" 2.009090909 0.00906225 "f" "thai" 7 "academic" "usa" 0.2
"thai8" 1.596774194 0.0111476 "m" "thai" 25 "academic" "usa" 4
"tibetan1" 2.473282443 0.00807189 "f" "tibetan" 13 "academic" "usa" 0.5
"tibetan3" 1.765765766 0.0103113 "f" "tibetan" 7 "academic" "usa" 0.7
"tokpisin1" 3.686131387 0.00712295 "m" "tok_pisin" 4 "academic" "usa" 6
"tswana2" 2.123893805 0.00825436 "f" "tswana" 6 "academic" "botswana" 32
"turkish11" 2.846846847 0.00828322 "f" "turkish" 23 "academic" "usa" 1
"turkish13" 6.916317992 0.00643431 "f" "turkish" 3 "naturalistic" "usa" 15
"turkish16" 3.322580645 0.0085986 "m" "turkish" 12 "academic" "uk" 0.75
"turkish17" 3.384615385 0.0103385 "m" "turkish" 6 "academic" "usa" 10
"turkish20" 2.606557377 0.0096113 "f" "turkish" 9 "academic" "unknown" 0
"turkish7" 2.801724138 0.00810591 "m" "turkish" 13 "academic" "unknown" 0
"ukrainian1" 2.406779661 0.00771268 "m" "ukrainian" 17 "academic" "usa" 0.2
"ukrainian5" 2.211382114 0.00709624 "m" "ukrainian" 10 "academic" "unknown" 0
"ukrainian6" 3.17699115 0.00758612 "f" "ukrainian" 11 "academic" "usa" 3
"uzbek1" 1.508333333 0.011306 "f" "uzbek" 39 "academic" "usa" 1
"uzbek3" 3.184615385 0.00783909 "m" "uzbek" 8 "academic" "usa" 8
"vietnamese6" 1.410714286 0.0133464 "m" "vietnamese" 12 "academic" "usa" 2
"vietnamese8" 2.082608696 0.00896589 "m" "vietnamese" 12 "academic" "usa" 30
"vlaams1" 2.799212598 0.00861998 "m" "vlaams" 7 "naturalistic" "unknown" 0
"yoruba2" 3.313559322 0.00817234 "f" "yoruba" 2 "academic" "usa,_uk" 8.5
"yoruba4" 2.025 0.010134 "m" "yoruba" 12 "academic" "nigeria,_usa" 15
"yupik1" 4.488986784 0.00645563 "f" "yupik" 1 "naturalistic" "alaska" 31
"zulu1" 2.487394958 0.00904861 "f" "zulu" 14 "academic" "usa" 7
